Name of the neighborhood,Shleter Number,Address,Area,Type,Capacity,Operator,X-axis coordinates,Y axis coordinates,Address for the map,Administration,neighborhood,category
Romema,Public Shelter No.750,"<a rel=""noopener"" href=""https://ul.waze.com/ul?place=ChIJTyywYDzWAhURQrtyZ5Wv-EE&amp;ll=31.79594850%2C35.20085500&amp;navigate=yes&amp;utm_campaign=default%2Cdefault&amp;utm_source=waze_website%2Cwaze_website&amp;utm_medium=lm_share_location"" target=""_blank"" data-anchor=""?place=ChIJTyywYDzWAhURQrtyZ5Wv-EE&amp;ll=31.79594850%2C35.20085500&amp;navigate=yes&amp;utm_campaign=default%2Cdefault&amp;utm_source=waze_website%2Cwaze_website&amp;utm_medium=lm_share_location"">5 Zichron Ya'akov St.</a> ",130,,104,Romema Community Administration,31.79611804,35.20083957,5 Zichron Ya'akov St.,,,Romema
Morasha,Public Shelter No.751,"<a rel=""noopener"" href=""https://ul.waze.com/ul?place=EhtIYUF5aW4gSGV0IFN0IDEwLCBKZXJ1c2FsZW0iMBIuChQKEgkjj043xSkDFRHhsRby5vQIpxAKKhQKEgmrwsBcxSkDFRHpjYkmcKTjkg&amp;ll=31.78297850%2C35.22627060&amp;navigate=yes&amp;utm_campaign=default%2Cdefault&amp;utm_source=waze_website%2Cwaze_website&amp;utm_medium=lm_share_location"" target=""_blank"" data-anchor=""?place=EhtIYUF5aW4gSGV0IFN0IDEwLCBKZXJ1c2FsZW0iMBIuChQKEgkjj043xSkDFRHhsRby5vQIpxAKKhQKEgmrwsBcxSkDFRHpjYkmcKTjkg&amp;ll=31.78297850%2C35.22627060&amp;navigate=yes&amp;utm_campaign=default%2Cdefault&amp;utm_source=waze_website%2Cwaze_website&amp;utm_medium=lm_share_location"">10 HaAyin Het St.</a> ",,,80,Musrara photography school ,31.783101414895757,35.22640406779709,10 HaAyin Het St.,,,Musrara - Morasha
Morasha,Public Shelter No.752,"<a rel=""noopener"" href=""https://www.waze.com/ul?ll=31.78133530%2C35.22679420&amp;navigate=yes&amp;zoom=16"" target=""_blank"" data-anchor=""?ll=31.78133530%2C35.22679420&amp;navigate=yes&amp;zoom=16"">21 HaAyin Het St.</a> ",100,Shelter,80,Musrara photography school ,31.781545038473322,35.22675128802577,21 HaAyin Het St.,,,Musrara - Morasha
Morasha,Public Shelter No.753,"<a rel=""noopener"" href=""https://www.waze.com/ul?ll=31.78575030%2C35.22712230&amp;navigate=yes&amp;zoom=16"" target=""_blank"" data-anchor=""?ll=31.78575030%2C35.22712230&amp;navigate=yes&amp;zoom=16"">16 Kheil HaHandasa St.</a> ",100,,80,Eshkolot Community Administration,31.78579592,35.2270983,16 Kheil HaHandasa St.,,,Musrara - Morasha
Katamon,Public Shelter No.755,"<a rel=""noopener"" href=""https://www.waze.com/ul?ll=31.75589460%2C35.19546320&amp;navigate=yes&amp;zoom=16"" target=""_blank"" data-anchor=""?ll=31.75589460%2C35.19546320&amp;navigate=yes&amp;zoom=16"">3 Dov Hoz St.</a> ",100,,80,"Jerusalem Municipality, Culture Department - Artist Victor Raubinov",31.75640292,35.19666642,3 Dov Hoz St.,,,Gonenim - Katamonim
Katamon,Public Shelter No.756,"<a rel=""noopener"" href=""https://www.waze.com/he/live-map/directions/%D7%A1%D7%9F-%D7%9E%D7%A8%D7%98%D7%99%D7%9F-1-%D7%99%D7%A8%D7%95%D7%A9%D7%9C%D7%99%D7%9D?to=place.w.23068990.230624360.540726"" target=""_blank"" data-anchor=""?to=place.w.23068990.230624360.540726"">1 San Martin St.</a> ",100,,80,"""Torah BeTziyon Tzedek"" youth movement",31.75628558,35.1946299,1 San Martin St.,,,Gonenim - Katamonim
Katamon,Public Shelter No.757,"<a rel=""noopener"" href=""https://ul.waze.com/ul?place=EiBIYVNob21lciBTdCA1LCBKZXJ1c2FsZW0sIElzcmFlbCIwEi4KFAoSCRM73wXs1wIVERbJZ_Zebcq9EAUqFAoSCaWRVxPs1wIVEXnE1A94CFS_&amp;ll=31.75551790%2C35.19782000&amp;navigate=yes&amp;utm_campaign=default&amp;utm_source=waze_website&amp;utm_medium=lm_share_location"" target=""_blank"" data-anchor=""?place=EiBIYVNob21lciBTdCA1LCBKZXJ1c2FsZW0sIElzcmFlbCIwEi4KFAoSCRM73wXs1wIVERbJZ_Zebcq9EAUqFAoSCaWRVxPs1wIVEXnE1A94CFS_&amp;ll=31.75551790%2C35.19782000&amp;navigate=yes&amp;utm_campaign=default&amp;utm_source=waze_website&amp;utm_medium=lm_share_location"">5 HaShomer St. &nbsp;</a> ",100,,80,"Jerusalem Municipality, Department for the Advancement of Youth and Young People (Youth Club)",31.75571857,35.19787365,5 HaShomer St.  ,,,Gonenim - Katamonim
Kiryat Menachem,Public Shelter No.803,"<a rel=""noopener"" href=""https://ul.waze.com/ul?place=ChIJnX4AwXnXAhURe_DTu4hDhdo&amp;ll=31.75950550%2C35.16694380&amp;navigate=yes&amp;utm_campaign=default&amp;utm_source=waze_website&amp;utm_medium=lm_share_location?ll=31.76052490%2C35.16441700&amp;navigate=yes&amp;zoom=16"" target=""_blank"" data-anchor=""?ll=31.76052490%2C35.16441700&amp;navigate=yes&amp;zoom=16"">17 Henrietta Szold St.</a> ",113,,90,"""Darchei Hayim"" yeshiva (dining room)",31.75954196351599,35.166911617437314,17 Henrietta Szold St.,,,Kiryat Menachem
Emek Refaim,Public Shelter No.804,"<a rel=""noopener"" href=""https://www.waze.com/ul?ll=31.76468940%2C35.21961580&amp;navigate=yes&amp;zoom=16"" target=""_blank"" data-anchor=""?ll=31.76468940%2C35.21961580&amp;navigate=yes&amp;zoom=16"">8 HaMelits St.</a> ",100,,80,"Emergency and Security Division, Jerusalem Municipality",31.76488511,35.21965502,8 HaMelits St.,,,German Colony
Katamon,Public Shelter No.805,"<a rel=""noopener"" href=""https://www.waze.com/ul?ll=31.76221390%2C35.21078690&amp;navigate=yes&amp;zoom=16"" target=""_blank"" data-anchor=""?ll=31.76221390%2C35.21078690&amp;navigate=yes&amp;zoom=16"">21 Yordei HaSira St.</a> ",370,,296,"Emergency and Security Division, Jerusalem Municipality",31.76235525,35.21082471,21 Yordei HaSira St.,,,Gonenim - Katamonim
